,HWT_SUBSCRIBER,CUSTOMER_SERVICE_TICKETS_CNT,MOBILE_NUMBER_SUPPLIED,MEALS_CANCEL_BEFORE_NOON,SPECIFIED_TASTE_AND_PREFERENCES,PC_LOGINS_CNT,WEEKS_SUBSCRIBED_TO_WEEKLY_PLAN_CNT,PRCNT_FOLLOWED_MEAL_RECOM_WEB_MOBILE,fe_MEAL_CHOICE_SPECIFICITY,fe_SUBSCRIPTIONS_SYNERGY,flag_WEEKS_SUBSCRIBED_TO_WEEKLY_PLAN_CNT_lo,flag_PRCNT_FOLLOWED_MEAL_RECOM_WEB_MOBILE_hi,fe_CUSTOMER_COMPANY_ge,fe_CUSTOMER_COMPANY_gmail,fe_CUSTOMER_COMPANY_homedepot,fe_CUSTOMER_COMPANY_mmm,fe_CUSTOMER_COMPANY_pg,fe_CUSTOMER_COMPANY_protonmail,fe_CUSTOMER_COMPANY_yahoo,fe_CUSTOMER_DOMAIN_for_proft_domain
0,1,0.3529411764705882,1.0,0.15384615384615385,0,0.6666666666666667,0.15384615384615385,1.0,0.03389830508474576,1,1,1,0,0,0,0,0,0,0,0
1,1,0.2941176470588235,1.0,0.0,0,0.6666666666666667,0.15384615384615385,1.0,0.06818181818181818,1,1,1,0,0,0,0,0,0,0,0
2,1,0.23529411764705882,1.0,0.38461538461538464,1,0.6666666666666667,0.2692307692307693,0.888888888888889,0.02631578947368421,1,1,1,0,1,0,0,0,0,0,0
3,1,0.4117647058823529,0.0,0.23076923076923078,1,0.6666666666666667,0.21153846153846156,1.0,0.03947368421052632,1,1,1,0,0,0,0,0,0,0,0
4,1,0.2941176470588235,1.0,0.07692307692307693,0,0.6666666666666667,0.23076923076923078,1.0,0.04615384615384616,1,1,1,0,0,0,0,0,0,0,0
5,1,0.2941176470588235,1.0,0.0,1,0.33333333333333326,0.19230769230769232,0.7777777777777778,0.07017543859649122,1,1,1,0,1,0,0,0,0,0,0
6,1,0.5294117647058824,1.0,0.23076923076923078,0,0.6666666666666667,0.13461538461538464,0.7777777777777778,0.02830188679245283,1,1,1,0,0,1,0,0,0,0,0
7,1,0.4117647058823529,1.0,0.07692307692307693,1,0.33333333333333326,0.15384615384615385,0.7777777777777778,0.049180327868852465,1,1,1,0,0,0,0,0,0,1,0
8,1,0.23529411764705882,1.0,0.0,1,0.6666666666666667,0.15384615384615385,0.7777777777777778,0.08695652173913042,1,1,1,0,0,0,0,0,0,0,0
9,1,0.2941176470588235,1.0,0.0,1,0.6666666666666667,0.038461538461538464,1.0,0.06896551724137931,1,1,1,0,0,0,0,0,1,0,0
